Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
What the Dog Saw: And Other Adventures,Malcolm Gladwell,Hardcover,2009,18.18,3459,4.4
The Last Song,Nicholas Sparks,Hardcover,2009,13.25,6372,4.6
Atlas Shrugged,Ayn Rand,Paperback,2009,14.77,19485,4.5
The White Tiger: A Novel,Aravind Adiga,Paperback,2009,10.79,11007,4.2
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,Hardcover,2009,18.0,790.0,3.5
"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,Paperback,2009,10.24,11549.0,4.6
U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,Hardcover,2009,12.51,6701,4.5
Catching Fire (The Hunger Games),Suzanne Collins,Hardcover,2009,11.41,64876,4.7
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Hardcover,2010,11.24,25133,4.6
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,2010,10.07,31485,4.5
Decision Points,George W. Bush,Hardcover,2010,13.99,2768,4.6
The Help,Kathryn Stockett,Hardcover,2010,15.97,33000,4.7
The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,2010,13.52,25386,4.6
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Hardcover,2010,11.61,19376,4.7
StrengthsFinder 2.0,Gallup,Hardcover,2010,20.96,8178.0,4.1
Mockingjay (The Hunger Games),Suzanne Collins,Hardcover,2010,11.44,79841,4.6
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,Hardcover,2010,12.98,2651,4.4
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,2010,12.49,12968,4.5
"Autobiography of Mark Twain, Vol. 1",Mark Twain,Hardcover,2010,18.17,636,4.4
The Big Short: Inside the Doomsday Machine,Michael Lewis,Hardcover,2010,15.66,15981,4.6
Food Rules: An Eater's Manual,Michael Pollan,Paperback,2010,13.49,4539,4.4
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Hardcover,2010,15.68,75429,4.7
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,Hardcover,2010,10.74,5204,4.5
Sh*t My Dad Says,Justin Halpern,Hardcover,2010,13.72,11624,4.5
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Paperback,2010,15.16,2262,4.7
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Hardcover,2010,14.99,6997,4.7
Life,Keith Richards,Hardcover,2010,1.5,7270,4.5
Cutting for Stone,Abraham Verghese,Paperback,2010,14.1,14677,4.6
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Hardcover,2010,11.42,594,4.5
The Official SAT Study Guide,The College Board,Paperback,2010,1.87,1559.0,4.4
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,Hardcover,2010,12.0,1934,4.5
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Hardcover,2010,15.7,27813,4.6
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Hardcover,2010,13.23,24831,4.7
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Paperback,2010,17.5,884,4.5
Outliers: The Story of Success,Malcolm Gladwell,Hardcover,2010,15.69,35958,4.6
Catching Fire (The Hunger Games),Suzanne Collins,Hardcover,2010,11.41,64876,4.7
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,Hardcover,2010,19.34,12414.0,4.6
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Hardcover,2010,18.29,8442,4.5
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Paperback,2010,12.2,4228,4.3
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,Paperback,2010,14.34,2818,4.7
The Confession: A Novel,John Grisham,Hardcover,2010,15.73,17933,4.4
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Hardcover,2010,13.03,5707,4.6
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,Paperback,2010,2.57,635.0,4.7
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Hardcover,2010,10.32,29555,4.8
Switch: How to Change Things When Change Is Hard,Chip Heath,Hardcover,2010,16.49,5549,4.6
The Art of Racing in the Rain: A Novel,Garth Stein,Paperback,2010,10.78,31714,4.6
