,Ranks,Title,Authors,Book_cover,Price,Reviews,Ratings,Year
629,34,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,7.74,"107,936",4.7,2015
630,35,Being Mortal: Medicine and What Matters in the End,Atul Gawande,Hardcover,16.06,"44,846",4.7,2015
631,36,Love You Forever,Robert Munsch,Paperback,4.98,"59,693",4.9,2015
632,37,The Very Hungry Caterpillar,Eric Carle,Board book,5.57,"59,818",4.9,2015
633,38,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,12.49,"12,968",4.5,2015
634,39,Between the World and Me,Ta-Nehisi Coates,Hardcover,13.59,"39,076",4.6,2015
635,40,Baby Touch and Feel: Animals,,Board book,5.67,DK,4.7,2015
636,41,The Book with No Pictures,B. J. Novak,Hardcover,9.90,"19,063",4.8,2015
637,42,The Wright Brothers,David McCullough,Hardcover,17.10,"20,256",4.5,2015
638,43,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Adult Coloring Books: Animals),Marty Noble,Paperback,5.39,"2,650",4.6,2015
639,44,The Nightingale: A Novel,Kristin Hannah,Hardcover,15.73,"284,246",4.7,2015
640,45,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper",Ree Drummond,Hardcover,15.69,"8,487",4.8,2015
641,46,What Pet Should I Get? (Classic Seuss),Dr. Seuss,Hardcover,9.40,"6,554",4.8,2015
642,47,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,Hardcover,12.00,"12,773",4.5,2015
643,48,Harry Potter Coloring Book,Scholastic,Paperback,11.60,"15,764",4.8,2015
644,49,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Mass Market Paperback,9.99,"42,390",4.5,2015
645,50,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,Hardcover,16.26,Melissa Hartwig Urban,4.6,2015
646,51,Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Minecraft Adventure),Zack Zombie,Paperback,,"18,650",4.7,2015
647,52,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,Paperback,6.84,"15,462",4.4,2015
648,53,Lost Ocean: An Inky Adventure and Coloring Book for Adults,Johanna Basford,Paperback,14.95,"8,248",4.7,2015
649,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,Hardcover,19.34,Patrick Lencioni,4.6,2015
650,55,The Official SAT Study Guide,,Paperback,,The College Board,4.4,2015
651,56,10-Day Green Smoothie Cleanse,JJ Smith,Paperback,9.89,"37,676",4.7,2015
652,57,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,Paperback,12.99,"40,366",4.7,2015
653,58,Chicka Chicka Boom Boom (Board Book),,Board book,4.59,Bill Martin Jr.,4.9,2015
654,59,The Day the Crayons Came Home,Drew Daywalt,Hardcover,12.72,"5,813",4.8,2015
655,60,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,Hardcover,15.86,"22,525",4.6,2015
656,61,Paper Towns,John Green,Paperback,7.68,"35,554",4.2,2015
657,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Paperback,12.49,"75,429",4.7,2015
658,63,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),Laurence J. Kotlikoff,Hardcover,8.88,"3,546",4.2,2015
659,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",Rick Riordan,Hardcover,11.46,"22,900",4.7,2015
660,65,Dragons Love Tacos,Adam Rubin,Hardcover,9.92,"18,109",4.8,2015
661,66,Fahrenheit 451,Ray Bradbury,Paperback,8.36,"48,397",4.6,2015
662,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,Paperback,7.93,Valorie Schaefer,4.8,2015
663,68,Potty (Leslie Patricelli board books),Leslie Patricelli,Board book,8.99,"13,737",4.7,2015
664,69,Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,Hardcover,17.69,"4,406",4.5,2015
665,70,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,Hardcover,19.75,"31,179",4.4,2015
666,71,The Going To Bed Book,Sandra Boynton,Board book,3.97,"17,461",4.8,2015
667,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",Ali Maffucci,Paperback,10.68,"3,851",4.4,2015
668,73,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),Alberta Hutchinson,Paperback,3.99,"2,992",4.5,2015
669,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Paperback,97.98,"13,018",4.7,2015
670,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,Paperback,5.90,DK,4.6,2015
671,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,,Hardcover,12.00,Phil McGraw,4.0,2015
672,77,Night (Night),Elie Wiesel,Paperback,6.27,"20,173",4.7,2015
673,78,What to Expect When You're Expecting,Heidi Murkoff,Paperback,17.16,"32,903",4.8,2015
674,79,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,Hardcover,11.69,"12,649",4.9,2015
675,80,The Road to Character,David Brooks,Hardcover,14.63,"6,036",4.3,2015
676,81,Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,Board book,5.00,"13,571",4.8,2015
677,82,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,Paperback,11.15,"140,724",4.6,2015
678,83,Guess How Much I Love You,Sam McBratney,Board book,13.29,"5,520",4.8,2015
679,84,"Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy! (Design Originals) 30 Motivating & Creative Art Activities on High-Quality, Extra-Thick Perforated Pages that Won't Bleed Through",Valentina Harper,Paperback,9.99,"1,827",4.7,2015
680,85,Little Blue Truck,Alice Schertle,Board book,,"1,961",4.9,2015
681,86,The Outsiders,S. E. Hinton,Paperback,5.74,"36,154",4.8,2015
682,87,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,11.29,"40,480",4.6,2015
683,88,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,Paperback,7.59,"6,473",4.6,2015
684,89,1984,George Orwell,Mass Market Paperback,7.48,"110,297",4.6,2015
685,90,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,Paperback,15.00,"11,998",4.6,2015
686,91,Emotional Intelligence 2.0,Travis Bradberry,Hardcover,14.98,"12,649",4.5,2015
687,92,For the Love: Fighting for Grace in a World of Impossible Standards,Jen Hatmaker,Hardcover,9.50,"3,681",4.6,2015
688,93,Press Here (Herve Tullet),Herve Tullet,Hardcover,11.77,"14,246",4.8,2015
689,94,Little Blue Truck board book,Alice Schertle,Board book,,"8,207",4.9,2015
690,95,"Brown Bear, Brown Bear, What Do You See?",,Board book,4.94,Bill Martin Jr.,4.9,2015
